时间(毫秒),疲劳指数,平滑前原始指数,疲劳等级,闭眼时间占比PERCLOS,闭眼占比是否已就绪(1=是),当前闭合程度(0-1),窗口内最长闭眼(毫秒),当前连续闭眼(毫秒),眨眼频率(次每分),平均眨眼时长(毫秒),哈欠频率(次每分),点头频率(次每分),头部偏离前方占比,眼睛开合度EAR,嘴巴张开度MAR,抬头低头角(度),左右转头角(度),头部倾斜角(度),是否检测到人脸(1=是),数据是否有效(1=是)
104346,57.54,58.59,中度疲劳,0.2244,1,1,1155,759,9,183,3,4,0,0.0529,0.0725,16.41,-9.37,-2.25,1,1
104874,68,62.82,中度疲劳,0.242,1,1,1287,1287,9,183,3,4,0,0.0573,0.0691,16.23,-10.34,-1.8,1,1
105402,92,68.4,重度疲劳,0.2596,1,1,1815,1815,9,183,3,4,0,0.0529,0.0596,15.54,-11.1,-1.32,1,1
105930,92,70.43,重度疲劳,0.2772,1,1,2343,2343,9,183,3,4,0,0.0524,0.0535,14.36,-11.63,-0.82,1,1
106458,69.73,69.17,重度疲劳,0.2663,1,0,2574,0,9,183,3,4,0,0.3,0.0487,12.76,-11.93,-0.31,1,1
106986,67.26,66.72,重度疲劳,0.2585,1,0.004,2574,0,9,183,2,4,0,0.2995,0.2779,10.8,-11.99,0.2,1,1
107514,66.79,66.72,重度疲劳,0.2585,1,0,2574,0,9,183,2,4,0,0.3008,0.6464,8.61,-11.8,0.71,1,1
108042,66.73,66.72,重度疲劳,0.2585,1,0,2574,0,9,183,2,4,0,0.3008,0.8076,6.33,-11.38,1.22,1,1
108570,67.55,68.27,重度疲劳,0.2585,1,0.001,2574,0,9,183,3,4,0,0.2999,0.8468,4.08,-10.72,1.7,1,1
109098,68.84,70.67,重度疲劳,0.2684,1,1,2574,297,8,190,3,4,0,0.0525,0.7665,2.02,-9.84,2.16,1,1
109626,70.05,70.2,重度疲劳,0.2717,1,0.018,2574,0,9,213,3,4,0,0.2975,0.5541,0.29,-8.77,2.58,1,1
110154,69.49,69.31,重度疲劳,0.264,1,0,2574,0,9,213,3,4,0,0.3008,0.0707,-1.01,-7.51,2.97,1,1
110682,69.34,69.31,重度疲劳,0.264,1,0.014,2574,0,9,213,3,4,0,0.298,0.0649,-1.79,-6.11,3.31,1,1
111210,69.33,69.44,重度疲劳,0.2651,1,0.996,2574,33,9,213,3,4,0,0.073,0.0586,-1.99,-4.57,3.6,1,1
111738,70.1,70.17,重度疲劳,0.2772,1,0,2574,0,10,231,3,4,0,0.3028,0.0522,-1.61,-2.95,3.84,1,1
112266,70.64,70.66,重度疲劳,0.2696,1,0.008,2574,0,9,235,3,4,0,0.2989,0.0478,-0.66,-1.27,4.02,1,1
112794,67.72,66.25,重度疲劳,0.252,1,0.02,2574,0,9,235,3,3,0,0.2972,0.0478,0.78,0.44,4.14,1,1
113322,65.41,64.84,重度疲劳,0.2398,1,0,2574,0,9,235,3,3,0,0.3017,0.051,2.63,2.15,4.19,1,1
113850,64.92,64.84,重度疲劳,0.2398,1,0,2574,0,9,235,3,3,0,0.3002,0.0585,4.76,3.8,4.19,1,1
114378,65.45,66.11,重度疲劳,0.2508,1,1,2574,330,9,235,3,3,0,0.058,0.0643,7.04,5.38,4.12,1,1
114906,70.38,72.05,重度疲劳,0.2684,1,1,2574,858,8,243,3,4,0.002,0.0558,0.0696,30.52,6.85,3.99,1,1
115434,73.06,74.08,重度疲劳,0.286,1,1,2574,1386,8,243,3,4,0.003,0.0565,0.0712,11.44,8.18,3.8,1,1
115962,92,74.73,重度疲劳,0.2916,1,1,2574,1914,8,243,3,4,0.003,0.0528,0.0692,13.3,9.35,3.55,1,1
116490,74.28,73.71,重度疲劳,0.2828,1,0.009,2574,0,8,243,3,4,0.003,0.2988,0.0656,14.78,10.32,3.25,1,1
117018,75.12,75.31,重度疲劳,0.2827,1,0.014,2574,0,7,255,3,4,0.003,0.2981,0.0581,15.81,11.09,2.89,1,1
117546,75.29,75.31,重度疲劳,0.2827,1,0.015,2574,0,7,255,3,4,0.003,0.2979,0.0525,16.34,11.63,2.5,1,1
118074,75.31,75.31,重度疲劳,0.2827,1,0,2574,0,7,255,3,4,0.003,0.301,0.0465,16.36,11.93,2.07,1,1
118602,76.68,77.22,重度疲劳,0.2827,1,0,2574,0,6,275,3,4,0.003,0.3026,0.0491,15.91,11.99,1.6,1,1
119130,77.28,77.72,重度疲劳,0.2871,1,1,2574,132,6,275,3,4,0.003,0.0563,0.055,15.04,11.81,1.12,1,1
119658,77.89,77.99,重度疲劳,0.2894,1,1,2574,660,6,275,3,4,0.003,0.0559,0.0606,13.84,11.39,0.61,1,1
120186,78.31,78.87,重度疲劳,0.297,1,1,2574,1188,6,275,3,4,0.002,0.0524,0.0671,12.39,10.73,0.1,1,1
120714,80.01,80.9,重度疲劳,0.3146,1,1,2574,1716,6,275,3,4,0.002,0.0552,0.0726,10.83,9.86,-0.42,1,1
121242,92,81.52,重度疲劳,0.3322,1,1,2574,2244,6,275,3,4,0.002,0.0543,0.0735,9.25,8.78,-0.92,1,1
121770,81.49,81.52,重度疲劳,0.3487,1,0.075,2739,0,6,275,3,4,0.002,0.2906,0.0674,7.75,7.53,-1.42,1,1
122298,81.52,81.52,重度疲劳,0.3487,1,0.01,2739,0,6,275,3,4,0.002,0.2986,0.0632,6.44,6.13,-1.89,1,1
122826,82.79,83.9,重度疲劳,0.3487,1,0.018,2739,0,6,275,3,5,0.002,0.2974,0.054,23.91,4.6,-2.34,1,1
123354,83.76,83.9,重度疲劳,0.3433,1,0,2739,0,6,275,3,5,0.004,0.3003,0.0515,4.57,2.97,-2.75,1,1
123882,85,85.64,重度疲劳,0.3257,1,0,2739,0,5,290,3,5,0.004,0.3003,0.0474,4.07,1.29,-3.12,1,1
124410,85.01,84.77,重度疲劳,0.3124,1,0,2739,0,5,290,3,5,0.004,0.3025,0.0509,3.86,-0.42,-3.44,1,1
124938,84.8,84.77,重度疲劳,0.3124,1,0.011,2739,0,5,290,3,5,0.004,0.2985,0.0545,3.89,-2.12,-3.71,1,1
125466,84.77,84.77,重度疲劳,0.3124,1,0.376,2739,0,5,290,3,5,0.004,0.2568,0.0608,4.13,-3.78,-3.92,1,1
125994,85.45,85.64,重度疲劳,0.3289,1,1,2739,495,5,290,3,5,0.004,0.0563,0.0681,4.51,-5.36,-4.08,1,1
126522,87.27,87.63,重度疲劳,0.3465,1,1,2739,1023,4,314,3,5,0.004,0.0528,0.0729,4.96,-6.83,-4.17,1,1
127050,87.59,87.63,重度疲劳,0.3609,1,1,2739,1551,4,314,3,5,0.004,0.0572,0.0712,5.42,-8.17,-4.2,1,1
127578,92,87.63,重度疲劳,0.3609,1,1,2739,2079,4,314,3,5,0.004,0.0526,0.067,5.84,-9.33,-4.17,1,1
128106,86.57,86.08,重度疲劳,0.3663,1,0.02,2739,0,4,314,2,5,0.004,0.2972,0.0607,6.18,-10.31,-4.07,1,1
128634,86.14,86.08,重度疲劳,0.3663,1,0.018,2739,0,4,314,2,5,0.004,0.2975,0.6132,6.42,-11.08,-3.92,1,1
129162,86.08,86.08,重度疲劳,0.3663,1,0,2739,0,4,314,2,5,0.004,0.3001,0.8257,6.55,-11.62,-3.7,1,1
129690,86.43,87.63,重度疲劳,0.3663,1,0.012,2739,0,4,314,3,6,0.005,0.2984,0.8238,16.48,-11.93,-3.43,1,1
130218,87.48,87.63,重度疲劳,0.3663,1,0,2739,0,4,314,3,6,0.005,0.3001,0.6156,6.58,-11.99,-3.11,1,1
130746,87.61,87.63,重度疲劳,0.3663,1,0,2739,0,4,314,3,6,0.005,0.3029,0.0571,6.56,-11.81,-2.74,1,1
131274,87.63,87.63,重度疲劳,0.3663,1,0.843,2739,0,4,314,3,6,0.005,0.1588,0.0638,6.59,-11.39,-2.32,1,1
131802,87.63,87.63,重度疲劳,0.3762,1,1,2739,528,4,314,3,6,0.005,0.054,0.0708,6.7,-10.74,-1.88,1,1
132330,87.63,87.63,重度疲劳,0.3938,1,1,2739,1056,4,314,3,6,0.005,0.0558,0.0721,6.95,-9.87,-1.4,1,1
132858,87.63,87.63,重度疲劳,0.4114,1,1,2739,1584,4,314,3,6,0.005,0.0579,0.0693,7.37,-8.8,-0.91,1,1
133386,92,87.63,重度疲劳,0.429,1,1,2739,2112,4,314,3,6,0.005,0.0554,0.0637,7.98,-7.55,-0.4,1,1
133914,87.63,87.63,重度疲劳,0.4247,1,0,2739,0,4,314,3,6,0.005,0.3023,0.0561,8.75,-6.15,0.11,1,1
134442,87.63,87.63,重度疲劳,0.4071,1,0,2739,0,4,314,3,6,0.005,0.3011,0.0511,9.68,-4.62,0.63,1,1
134970,87.63,87.63,重度疲劳,0.3895,1,0.008,2739,0,4,314,3,6,0.005,0.2988,0.0484,10.69,-3,1.13,1,1
135498,87.63,87.63,重度疲劳,0.3719,1,0.018,2739,0,4,314,3,6,0.005,0.2975,0.0491,11.74,-1.32,1.62,1,1
136026,87.63,87.63,重度疲劳,0.3543,1,0.004,2739,0,4,314,3,6,0.005,0.2994,0.0543,12.73,0.39,2.08,1,1
136554,87.63,87.63,重度疲劳,0.3553,1,1,2739,132,4,314,3,5,0.005,0.0556,0.0578,13.58,2.1,2.51,1,1
137082,87.63,87.63,重度疲劳,0.3729,1,1,2739,660,4,314,3,5,0.005,0.0522,0.0657,14.2,3.75,2.91,1,1
137610,87.63,87.63,重度疲劳,0.3905,1,1,2739,1188,4,314,3,5,0.005,0.0543,0.0704,14.52,5.34,3.26,1,1
138138,87.63,87.63,重度疲劳,0.4081,1,1,2739,1716,4,314,3,5,0.005,0.0556,0.07,14.48,6.81,3.56,1,1
138666,92,87.63,重度疲劳,0.4257,1,1,2739,2244,4,314,3,5,0.005,0.0553,0.0702,14.03,8.15,3.8,1,1
139194,87.63,87.63,重度疲劳,0.428,1,0,2739,0,4,314,3,5,0.005,0.3002,0.0631,13.17,9.32,3.99,1,1
139722,87.63,87.63,重度疲劳,0.4279,1,0.003,2739,0,4,314,3,5,0.005,0.2996,0.0548,11.92,10.3,4.12,1,1
140250,88.3,88.51,重度疲劳,0.4279,1,0.014,2739,0,3,341,3,5,0.005,0.298,0.0488,10.34,11.07,4.19,1,1
140778,88.48,88.51,重度疲劳,0.4279,1,0.004,2739,0,3,341,3,5,0.005,0.2995,0.049,8.51,11.62,4.19,1,1
141306,88.51,88.51,重度疲劳,0.4236,1,0.016,2739,0,3,341,3,6,0.007,0.2978,0.0484,26.46,11.93,4.14,1,1
141834,88.51,88.51,重度疲劳,0.4213,1,1,2739,198,3,341,3,6,0.007,0.0539,0.0544,4.51,11.99,4.01,1,1
142362,88.51,88.51,重度疲劳,0.4389,1,1,2739,726,3,341,3,6,0.007,0.0579,0.0609,2.6,11.82,3.83,1,1
142890,88.51,88.51,重度疲劳,0.4565,1,1,2739,1254,3,341,3,6,0.007,0.0535,0.0665,0.93,11.4,3.59,1,1
143418,88.51,88.51,重度疲劳,0.4741,1,1,2739,1782,3,341,3,6,0.006,0.0578,0.0723,-0.39,10.75,3.3,1,1
143946,92,88.51,重度疲劳,0.4917,1,1,2739,2310,3,341,3,6,0.006,0.0562,0.0729,-1.25,9.89,2.96,1,1
144474,88.51,88.51,重度疲劳,0.4929,1,0,2772,0,3,341,3,6,0.006,0.3025,0.066,-1.59,8.82,2.57,1,1
145002,88.51,88.51,重度疲劳,0.4753,1,0.016,2772,0,3,341,3,6,0.006,0.2978,0.0612,-1.37,7.57,2.14,1,1
145530,88.51,88.51,重度疲劳,0.4577,1,0,2772,0,3,341,3,6,0.006,0.3018,0.0525,-0.58,6.17,1.69,1,1
146058,88.51,88.51,重度疲劳,0.4401,1,0,2772,0,3,341,3,6,0.006,0.3002,0.0506,0.73,4.64,1.2,1,1
146586,88.51,88.51,重度疲劳,0.4345,1,0.012,2772,0,3,341,3,6,0.006,0.2984,0.0478,2.48,3.02,0.7,1,1
147114,88.51,88.51,重度疲劳,0.4345,1,0.003,2772,0,3,341,3,6,0.006,0.2996,0.0521,4.59,1.34,0.19,1,1
147642,88.51,88.51,重度疲劳,0.4345,1,0,2772,0,3,341,3,6,0.006,0.3002,0.0571,6.9,-0.37,-0.33,1,1
148170,88.51,88.51,重度疲劳,0.4488,1,1,2772,429,3,341,3,7,0.006,0.0576,0.0647,0.14,-0.43,-0.17,1,1
148698,88.51,88.51,重度疲劳,0.4664,1,1,2772,957,3,341,3,7,0.006,0.0547,0.0694,0.38,-0.78,-0.28,1,1
149226,88.51,88.51,重度疲劳,0.4764,1,1,2772,1485,3,341,3,7,0.006,0.0543,0.0726,0.62,-1.11,-0.38,1,1
149754,87.16,86.96,重度疲劳,0.4742,1,0,2772,0,3,341,2,7,0.006,0.3007,0.0702,0.82,-1.41,-0.47,1,1
150282,86.98,86.96,重度疲劳,0.4566,1,0.015,2772,0,3,341,2,7,0.006,0.2979,0.0658,1,-1.69,-0.56,1,1
150810,86.96,86.96,重度疲劳,0.439,1,0,2772,0,3,341,2,7,0.006,0.3007,0.0602,1.13,-1.94,-0.64,1,1
